Registration Group,Support Item ID,Support Item,Variant Description,Variant ID,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Group /Centre Activities,890,Community centre activities,group based activities in a centre - Saturday,04_108_0136_6_1,Social and recreational activities in a centre based program on Saturdays,Hour,N,"28,39",Y,Assistance with social and community participation,4
Group /Centre Activities,890,Community centre activities,group based activities in a centre - Sunday,04_109_0136_6_1,social and recreational activities in a centre based program on Sundays,Hour,N,"36,31",Y,Assistance with social and community participation,4
Group /Centre Activities,890,Community centre activities,group based activities in a centre - weekday evening,04_110_0136_6_1,Social and recreational activities in a centre based program when the activity finishes after 8pm.,Hour,N,"21,26",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"group based community, social and recreational activities",04_111_0136_6_1,"Community, social and recreational activities in a group.",Hour,N,"21,39",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"group based community, social and recreational activities - Saturday",04_112_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays",Hour,N,"29,68",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"group based community, social and recreational activities - Sunday",04_113_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays",Hour,N,"37,98",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"group based community, social and recreational activities - weekday evening",04_114_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm",Hour,N,"23,46",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"grp bd community, social and rec activities - ratio 1:3",04_120_0136_6_1,"Community, social and recreation activities in a group at a 1:3 ratio",Hour,N,"14,27",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"grp bd community, social and rec activities - Saturday - ratio 1:3",04_121_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays at a 1:3 ratio",Hour,N,"19,78",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"grp bd community, social and rec activities - Sunday - ratio 1:3",04_122_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays at a 1:3 ratio",Hour,N,"25,32",Y,Assistance with social and community participation,4
Group /Centre Activities,900,Group community activities,"grp bd community, social and rec activities - weekday evening - ratio 1:3",04_123_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm at a 1:3 ratio",Hour,N,"15,65",Y,Assistance with social and community participation,4
Hearing Equipment,910,Hearing aid,external components for other implantable devices,05_220621218_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment,910,Hearing aid,personal amplifiers/binaural listener,05_220627222_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment,910,Hearing aid,tinnitus reduction device,05_220627224_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment,910,Hearing aid,remote control (for hearing aids),05_220627227_0122_1_2,A remote control that enables changes to be made to hearing aids without touching the hearing devices. It allows access to volume and program changes for people with poor or nil manual dexterity and for use by carers.,Each,N,,N,Assistive technology,5
Hearing Equipment,920,Speakers and sound equipment,streamer,05_220627228_0122_1_2,"Enable wireless access to accessories such as mobile phones, MP3 players and audio devices for hearing aid users.",Each,N,,N,Assistive technology,5
Hearing Equipment,920,Speakers and sound equipment,music devices,05_220627230_0122_1_2,Portable couplers that allow hearing aid users to access music via audio devices,Each,N,,N,Assistive technology,5
Hearing Equipment,920,Speakers and sound equipment,tv device for hearing assistance,05_220627232_0122_1_2,Systems for delivering sound directly from the TV to the ear,Each,N,,N,Assistive technology,5
Hearing Equipment,920,Speakers and sound equipment,induction loop devices,05_221830247_0122_1_2,"Designed for individual use in private and public situations including  reception counters, meetings and other appointments",Each,N,,N,Assistive technology,5
Hearing Equipment,920,Speakers and sound equipment,loudspeakers,05_221836223_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment,930,Telephone hearing adaptation,adapted landline telephone,05_222403225_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment,930,Telephone hearing adaptation,telephone coupler,05_222421226_0122_1_2,Small portable device that attaches to the earpiece of the telephone  and amplifies sound,Each,N,,N,Assistive technology,5
Hearing Equipment,940,Alarm systems,baby cry alerting systems for hearing impaired,05_222704266_0122_1_2,Visual or vibrating alert,Each,N,,N,Assistive technology,5
Hearing Equipment,940,Alarm systems,smoke alarm adapted for hearing impairment,05_222721231_0122_1_2,Visual alert or vibrating smoke alarm packages,Each,N,,N,Assistive technology,5
Hearing Services,910,Hearing aid,hearing aid (one) higher needs-amount in addition to OHS subsidy,05_220615215_0134_1_2,Monaural hearing device for voucher clients with higher needs from OHS Top-Up Schedule  (amount in addition to OHS subsidy),Each,Y,,N,Assistive technology,5
Hearing Services,910,Hearing aid,hearing aid (two) higher needs-amount in addition to OHS subsidy,05_220615216_0134_1_2,Binaural hearing devices for voucher clients with higher needs -  from OHS Top Up schedule (amount in addition to OHS subsidy),Each,Y,,N,Assistive technology,5
Hearing Services,910,Hearing aid,hearing aid maintenance OHS voucher client contribution,05_220627220_0134_1_2,Annual maintenance contribution fee,Each,N,,N,Assistive technology,5
Hearing Services,910,Hearing aid,hearing aid replacement fee OHS devices- over 25yrs not DVA,05_220627221_0134_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Services,950,Hearing equipment consumables,hearing aid battery and consumables supply,05_502206314_0134_1_2,12 months battery supply per hearing aid,Each,N,,N,Assistive technology,5
Home Modification,960,"Home modifications, rails and climbers",stair climber directed by attendant for wheelchair,06_121703375_0111_2_2,Portable tracked device which a wheelchair attaches to and then is tracked upstairs by attendant.,Each,Y,,N,Home modifications,6
Home Modification,960,"Home modifications, rails and climbers",grab rails- internal supply and install,06_181806381_0111_2_2,grab rails- internal supply and install,Each,N,,N,Home modifications,6
Home Modification,960,"Home modifications, rails and climbers",home modifications- rails- external,06_181806382_0111_2_2,home modifications- rails- external,Each,N,,N,Home modifications,6
Home Modification,960,"Home modifications, rails and climbers",supply and install specialised wall taps,06_182403383_0111_2_2,supply and install specialised wall taps,Each,N,,N,Home modifications,6
Home Modification,970,"Home modifications, bathroom",home modifications- bathroom modification minimal structural work,06_182488376_0111_2_2,"Moving a bath tub or enlarging a shower recess to improve access, or similar smaller work.",Each,Y,,N,Home modifications,6
Home Modification,970,"Home modifications, bathroom",home modifications- bathroom modification extensive structural work,06_182488377_0111_2_2,"Extensive structural  bathroom changes. For example, removal of a bath or hobless-shower, electrical work, relocating plumbing, widening doorway, waterproofing or changes to the fit-out such as toilet, tap ware, basin, shower, rails paint and tiles.",Each,Y,,N,Home modifications,6
Home Modification,970,"Home modifications, bathroom","home modifications- bathroom mod including combining bathroom, toilet or laundry",06_182488378_0111_2_2,"Modifications to combine bathroom, toilet and laundry. Includes  bath removal, hobless shower creation, plumbing relocation, electrical work, doorway changes, waterproofing and changes to bathroom fittings.",Each,Y,,N,Home modifications,6
Home Modification,980,"Home modifications, kitchen",home modifications- kitchen adaption- no structural work,06_182488379_0111_2_2,Modifications to a kitchen to enable a person with disability to access and use it.,Each,Y,,N,Home modifications,6
Home Modification,990,home modifications- minor miscellaneous adjustments,home modifications- minor miscellaneous adjustments,06_182488380_0111_2_2,"Lower cost adaptions such as door adjustments, safety installations and bathroom fittings.",Each,N,,N,Home modifications,6
Home Modification,1000,vertical lift platform,elevator- home,06_183003384_0111_2_2,elevator- home,Each,Y,,N,Home modifications,6
Home Modification,1000,vertical lift platform,fixed vertical lifting platform-home,06_183005385_0111_2_2,platform attached to stairs or vertical drop which a wheelchair or scooter rides on,Each,Y,,N,Home modifications,6
Home Modification,1000,vertical lift platform,free standing vertical lifting platform- home,06_183007386_0111_2_2,non enclosed lifting platform similar to a lift usually traversing smaller distances than an enclosed lift/ elevator,Each,Y,,N,Home modifications,6
Home Modification,1010,Stair lift,stair lift with seat,06_183010387_0111_2_2,seat and rails attached to stairs or incline for ambulant person to ride up stairs on,Each,Y,,N,Home modifications,6
Home Modification,1010,Stair lift,stair lift with platform,06_183011388_0111_2_2,platform attached to rail or track to traverse person over stairs to upper or lower levels,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps timber with galvanised rails- 300 per lineal meter,06_183018396_0111_2_2,permanently installed timber ramp with galvanised rails,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps concrete with galvanised rails- 400 per lineal meter,06_183018397_0111_2_2,permanently installed concrete ramp with galvanised rails,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps modular aluminium removable 2400mm x 1200 mm,06_183018398_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps modular aluminium removable 600mm x 1200 mm,06_183018399_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps modular aluminium removable 2400mm x 1800 (landing) mm,06_183018400_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,ramps modular aluminium removable 1200mm x 1200 (landing) mm,06_183018401_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification,1020,Fixed ramp,home mods- minor step ramp mod supply and fit landings and risers,06_183018402_0111_2_2,home mods- minor step ramp mod supply and fit landings and risers,Each,N,,N,Home modifications,6
Home Modification,1020,Fixed ramp,"home mods- minor step ramp mod supply & fit landings, risers & bilateral h'rails",06_183018403_0111_2_2,"home mods- minor step ramp mod supply & fit landings, risers & bilateral h'rails",Each,N,,N,Home modifications,6
Home Modification,970,"Home modifications, bathroom",slip resistant tile coating- approx. 5m x 5m,06_183315404_0111_2_2,slip resistant tile coating- approx. 5m x 5m,Each,N,,N,Home modifications,6
Home Modification,1030,"Home modificaitons, cosultation",certification or approval of home modifications,06_405_0111_2_2,Certifier independent of a builder who can advise on the compliance of plans with the necessary work undertaken.,Each,Y,,N,Home modifications,6
Home Modification,1030,"Home modificaitons, cosultation",home modifications project manager or building certifier,06_406_0111_2_2,Project manager or building certifier employed to ensure compliance with modifications plans to allow home access by person with disability,Each,Y,,N,Home modifications,6
Home Modification,1030,"Home modificaitons, cosultation",consultation about home modification designs with builder,06_407_0111_2_2,"drawings or plans which allow agreement to be confirmed, e.g. modifications and for quotes to be obtained",Each,N,,N,Home modifications,6
Home Modification,1030,"Home modificaitons, cosultation",project management of home modifications,06_408_0111_2_2,"Project manager or certifier independent of a builder, who can provide advice on compliance of the plans with work undertaken and can co-ordinate quotes and payments.",Each,Y,,N,Home modifications,6
Household Tasks,1040,Hosehold tasks assistance,house and/or yard maintenance,01_019_0120_1_1,Performing essential house and or yard activities that the participant is not able to undertake.,Hour,N,"42,05",Y,Assistance with daily life (includes Supported Independent Living),1
Household Tasks,1040,Hosehold tasks assistance,house cleaning and other household activities,01_020_0120_1_1,Performing essential house cleaning activities that the participant is not able to undertake.,Hour,N,"37,7",Y,Assistance with daily life (includes Supported Independent Living),1
Household Tasks,1040,Hosehold tasks assistance,linen service,01_021_0120_1_1,Provision of clean linen to a participant unable to do their own laundry without assistance.,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Household Tasks,1040,Hosehold tasks assistance,assistance with the cost of preparation and delivery of meals,01_022_0120_1_1,"Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs not included. Cost varies with the number of meals prepared and deliveries required.",Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Innov Community Participation,1050,Innovative Community Participation,Innovative Community Participation,09_008_0116_6_3,Mainstream services that promote inclusion of people with disability to expand opportunities for community participation and employment.,Each,N,,N,Increased social and community participation,9
Interpret/Translate,1060,Translation and interpretation,Auslan or signed English training,03_089_0121_1_1,Training in the use of Auslan and other communication techniques; tafe course fee or equivalent.,Hour,N,"117,77",N,Consumables,3
Interpret/Translate,1060,Translation and interpretation,interpreting & translating,03_090_0121_1_1,Services to interpret or translate another language.,Hour,N,"119,9",N,Consumables,3
Interpret/Translate,1060,Translation and interpretation,telephone or video interpreting,03_091_0121_1_1,Telephone or video services to interpret or translate another language or format.,Hour,N,"104,65",N,Consumables,3
Participate Community,1070,Community access assistance,"ass to access community, social and rec activities - indiv -per public holiday",04_102_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a public holiday.",Hour,N,"92,53",Y,Assistance with social and community participation,4
Participate Community,1070,Community access assistance,"ass to access community, social and rec activities - indiv-per weekday evening",04_103_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,"46,93",Y,Assistance with social and community participation,4
Participate Community,1070,Community access assistance,"ass to access community, social and rec activities - individual -per weekdays",04_104_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,"42,79",Y,Assistance with social and community participation,4
Participate Community,1070,Community access assistance,"assistance to access community, social and rec activities - individual -Saturday",04_105_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Saturday.",Hour,N,"59,36",Y,Assistance with social and community participation,4
Participate Community,1070,Community access assistance,"assistance to access community, social and rec activities - individual -Sundays",04_106_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Sunday.",Hour,N,"75,96",Y,Assistance with social and community participation,4
Participate Community,1080,Community participation activities,"community, social and recreational activities",04_115_0125_6_1,"Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",Annual,N,,N,Assistance with social and community participation,4
Participate Community,1080,Community participation activities,community participation activities,09_010_0125_6_3,Participation in community based activities that build skills and independence.,Annual,N,,N,Increased social and community participation,9
Personal Activities High,1090,Assistance with self care activities,assistance with self-care activities on Public Holidays - higher intensity,01_005_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"97,68",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1090,Assistance with self care activities,assistance with self-care activities on Saturdays - higher intensity,01_006_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"62,66",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1090,Assistance with self care activities,assistance with self-care activities on Sundays - higher intensity,01_007_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"80,17",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1090,Assistance with self care activities,assistance with self-care activities during daytime weekdays - higher intensity,01_008_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"45,17",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1090,Assistance with self care activities,assistance with self-care activities per weekday evening - higher intensity,01_009_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,"49,53",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1100,Specialist assistance,specialised home based assistance for a child,01_016_0104_1_1,Specialist assistance in the home required due to additional requirements of the child's disability; may be provided to strengthen the sustainability of informal supports.,Hour,N,"42,79",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,30,Assistance with self care,assistance with self-care - overnight - higher intensity,01_018_0104_1_1,"Assistance with, or supervision of, personal tasks of daily living where intensive overnight support is needed and the care giver will not have the option to sleep",Hour,N,"50,42",Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,1110,"Community Activities, individual","ass to access community, social/rec acts-indiv higher intensity-public holiday",04_097_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant's complex needs on a public holiday.,Hour,N,"97,68",Y,Assistance with social and community participation,4
Personal Activities High,1110,"Community Activities, individual","ass to access community, social/rec acts-indiv higher intensity-weekday evening",04_098_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant's complex needs during the weekday evening.,Hour,N,"49,53",Y,Assistance with social and community participation,4
Personal Activities High,1110,"Community Activities, individual","ass to access community, social/rec acts - indiv - higher intensity -Saturday",04_099_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant's complex needs on a Saturday.,Hour,N,"62,66",Y,Assistance with social and community participation,4
Personal Activities High,1110,"Community Activities, individual","ass to access community, social/rec acts - indiv higher intensity -Sundays",04_100_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant's complex needs on a Sunday.,Hour,N,"80,17",Y,Assistance with social and community participation,4
Personal Activities High,1110,"Community Activities, individual","ass to access community, social/rec acts - indiv higher intensity -weekdays",04_101_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant's complex needs during the week.,Hour,N,"45,17",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp based community, social and recreational activities - higher intensity",04_116_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"28,47",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher intensity - Saturday",04_117_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"39,51",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher intensity - Sunday",04_118_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"50,56",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher intensity - weekday evening",04_119_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 2 persons per staff member.",Hour,N,"31,24",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher intensity - ratio 1:3",04_124_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"18,98",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher int - Saturday - ratio 1:3",04_125_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"26,34",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher int - Sunday - ratio 1:3",04_126_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,"33,71",Y,Assistance with social and community participation,4
Personal Activities High,1120,"Community Activities, group","grp bd community, social and rec activities - higher int - weekday evening - 1:3",04_127_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 3 persons per staff member.",Hour,N,"20,83",Y,Assistance with social and community participation,4
Personal Mobility Equipment,1130,Walking sticks and crutches,walking sticks and canes,05_120303085_0105_1_2,walking sticks and canes,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1130,Walking sticks and crutches,quadrapod walking stick,05_120303086_0105_1_2,quadrapod walking stick,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1130,Walking sticks and crutches,elbow crutches,05_120306087_0105_1_2,elbow crutches,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1140,Walking frames,forearm support crutches,05_120309088_0105_1_2,forearm support crutches,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1140,Walking frames,walking frame,05_120603089_0105_1_2,walking frame,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1140,Walking frames,walking frame- bariatric 180 kg,05_120603090_0105_1_2,walking frame- bariatric 180 kg,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,wheeled walker - with frame bariatric,05_120606091_0105_1_2,Wheeled walker with frame for a participant with an increased weight in obese range.,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,wheeled walker - with frame 6 wheel,05_120606092_0105_1_2,wheeled walker - with frame 6 wheel,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,wheeled walker - with frame junior gutter,05_120606093_0105_1_2,wheeled walker - with frame junior gutter,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,wheeled walker - with frame adult gutter,05_120606094_0105_1_2,wheeled walker - with frame adult gutter,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,wheeled walker-walker posterior,05_120606095_0105_1_2,wheeled walker-walker posterior,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,four wheeled walker with brakes and seat,05_120606096_0105_1_2,four wheeled walker with brakes and seat,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1150,Wheeled walker,rollator with supports,05_120606098_0105_1_2,rollator with supports,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1140,Walking frames,walking chairs for children aka gait trainers,05_120609099_0105_1_2,devices with a sling or seat that support the body when walking,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1140,Walking frames,walking tables,05_120612100_0105_1_2,devices with wheels and supporting table or forearm support,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manually propelled- average folding,05_122203104_0105_1_2,wheelchair- manually propelled- average folding,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual- basic folding adult,05_122203105_0105_1_2,wheelchair- manual- basic folding adult,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual transit adult,05_122203106_0105_1_2,"Wheelchairs that cannot be self-propelled, so are propelled by an attendant.",Each,N,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual child folding,05_122203107_0105_1_2,wheelchair- manual child folding,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom adult folding,05_122203108_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom child folding,05_122203109_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom adult bariatric,05_122203110_0105_1_2,Manual wheelchair for person with increased weight in obese range.,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom adult rigid frame,05_122203111_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom made steel frame,05_122203112_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom made lightweight frame,05_122203113_0105_1_2,"Frame that is made to individual measurements. Made of titanium, aluminium or other lightweight material.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual custom child rigid frame,05_122203114_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual tilt in space- adult,05_122203115_0105_1_2,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1160,"Wheelchair, manual",wheelchair- manual tilt in space- child,05_122203116_0105_1_2,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1170,"Wheelchair, specialised manual",wheelchair- manual + customised seating,05_122203117_0105_1_2,wheelchair and customised seating,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1170,"Wheelchair, specialised manual",wheelchair- manual amputee,05_122203118_0105_1_2,"Manual wheelchair. For example, balanced for lower limb amputee.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1170,"Wheelchair, specialised manual",wheelchair- manual- one arm drive/lever,05_122209119_0105_1_2,manual wheelchair propelled by lever or dual hand rims,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1170,"Wheelchair, specialised manual",wheelchair- manual + power assisted wheels,05_122212120_0105_1_2,manual wheelchair with powered wheels that amplify pushing effort,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1180,Scooter,scooters- 3 wheels,05_122303121_0105_1_2,scooters- 3 wheels,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1180,Scooter,scooters- 4 wheels,05_122303122_0105_1_2,scooters- 4 wheels,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1180,Scooter,scooters- 4 wheels heavy duty,05_122303123_0105_1_2,scooters- 4 wheels heavy duty,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered basic adult folding RWD,05_122306124_0105_1_2,Rear wheel drive power chair which folds when disassembled.,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered basic adult RWD,05_122306125_0105_1_2,rear wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered basic adult MWD,05_122306126_0105_1_2,mid wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered basic child RWD,05_122306127_0105_1_2,rear wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered basic child MWD,05_122306128_0105_1_2,mid wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered tilt in space adult RWD,05_122306129_0105_1_2,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered tilt in space adult MWD,05_122306130_0105_1_2,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered with powered recline or leg elevation,05_122306131_0105_1_2,wheelchair- powered with powered recline or leg elevation,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered tilt in space child RWD,05_122306132_0105_1_2,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered",wheelchair- powered tilt in space child MWD,05_122306133_0105_1_2,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered","wheelchair- powered TIS, recline adult RWD",05_122306134_0105_1_2,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered","wheelchair- powered TIS, recline adult MWD",05_122306135_0105_1_2,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered","wheelchair- powered TIS, recline child RWD",05_122306136_0105_1_2,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,1190,"Wheelchair, powered","wheelchair- powered TIS, recline child MWD",05_122306137_0105_1_2,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
